"","id","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","mon","tue","wed","thu","fri","sat","sun","temp","visib","wdsp","slp","dewp","num_collisions"
"1121",1812,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.750663080416882,-1.53990119759832,0.193805232366143,-0.15795954857786,0.843711809793441,654
"1122",2241,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.10028897251506,-0.407337698031146,-0.291202599893449,0.184416279903167,1.19435597919678,580
"1123",85,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.197465745731191,0.14955079270518,0.686900893182692,-0.109868619611478,0.0623411908319403,480
"1124",2291,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.06268755929648,-1.77035680365217,-0.368516783964357,0.469906867060951,1.16266436406136,708
"1125",2166,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.27305788170634,0.700115325285938,-0.271874053875722,-1.08167241097052,0.32811849882876,651
"1126",972,2015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.8030868398479,0.788447218007104,-0.333513700957202,0.803628894418183,-1.78702378428293,703
"1127",782,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.15447322893047,0.706265368315116,-0.580638447017727,0.151762315774858,1.07462389504944,567
"1128",88,2012,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.44600243677527,0.755659732303267,-0.162264414164898,0.328163066718694,0.480304802239605,404
"1129",1228,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.225537125998848,0.462739774511303,-0.673388380637821,0.764547943507257,0.3649744332405,757
"1130",2146,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.22292266408157,-1.17403594494297,-1.60554372909889,-0.113486941478873,0.528832061353057,732
"1131",1661,2017,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.848306483903153,0.653720942868505,-0.61618228458396,0.88638091727932,-0.825076476751394,657
"1132",1299,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.64514085846704,0.744980028996378,0.833110490623986,-0.0510981643774331,-2.09677922447721,666
"1133",429,2013,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.4117758522225,-0.46308120951692,-0.636438402850188,-0.901384913866871,1.48807469407415,431
"1134",588,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.57717951323274,0.706265368315116,-0.376267151780051,1.01855148362347,-1.70430108838658,424
"1135",2202,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.2005594077646,0.827898366437909,-0.890387526442989,0.283717353697175,0.845748212707211,642
"1136",365,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1.02288134436518,-2.57485404517529,-0.390639954346192,-0.65562407707783,1.22157521253414,423
"1137",1198,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.237129262946544,0.788447218007104,-0.630904045677743,-0.251556780176589,0.143740971625942,559
"1138",2197,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1.13789038573363,0.785304019387253,0.443282148780181,0.742984819994496,0.454884959370422,526
"1139",326,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.465465883103019,-2.32641018215666,-0.779820831144186,-0.423516620110421,0.677916270192519,570
"1140",118,2012,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-0.00373062320925398,0.755659732303267,-1.24919600756981,0.845836877836157,0.259712896218893,598
"1141",2023,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1.66968180125352,0.827898366437909,0.829853069134723,1.38844179965558,-1.37266484677186,494
"1142",1441,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.398518353563785,0.643937712667798,-0.355777330389599,-0.176614460767616,0.52684497759785,584
"1143",290,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.377138883921178,0.77913810557624,-0.267740730094193,1.6108369733099,-0.185542049997117,564
"1144",812,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.44626696244371,0.706265368315116,-0.580638447017727,1.46548964829542,0.277567892048415,594
"1145",614,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1.71629145843549,0.250184822823636,1.46307450535904,2.14266868567715,-1.71507211545416,558
"1146",1489,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1.35944420822728,-1.27586629757523,-1.25265761641739,-0.706572156637282,1.46067732070931,774
"1147",1524,2016,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.23763670552346,0.441853080010637,-0.272346606107944,-0.148721950458679,1.13828282130178,697
"1148",581,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.05867135384065,0.706265368315116,-1.27550085082583,1.14044371035218,-1.04726843726411,507
"1149",2698,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.542119052538513,0.756095124733965,0.559344123551982,0.0509328778168446,-0.450975451225584,647
"1150",2113,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.228294294541367,-0.449932045081803,0.655896154975179,-0.0638364045818686,-0.00992539594900367,624
"1151",577,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.994515348841,0.706265368315116,0.114223956790373,0.571613318951533,-2.63060941619859,504
"1152",603,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.603395896813447,0.452887287486516,-0.253644374637445,-0.132652879925472,-0.347151677871311,414
"1153",711,2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.737137393322199,0.351536055155077,0.257283863456746,0.436177511475187,0.697637947684093,576
"1154",351,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.724728888341233,0.323657690042081,-0.288223934136193,-0.464476759575254,0.795176042070124,477
"1155",1925,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1.05459944388267,0.488164554908745,0.422263249967455,0.160436934915181,1.21338010111666,521
"1156",393,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1.33399695065104,-1.00137624605729,-0.923203259438184,-0.150449023678164,1.44543477702775,485
"1157",1947,2017,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.658160708927294,-0.463784675859876,3.89067133536918,-2.42494251104831,0.410671811386237,832
"1158",1870,2017,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.1867456888678,-0.794897451779396,-1.61308999775332,0.0330783415179642,1.18169424757467,602
"1159",706,2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.749783933795177,0.604914135983676,-0.0492730793997686,-1.1619650167457,0.697637947684093,743
"1160",1079,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.94424961675598,0.788447218007104,-0.439724538357395,-0.0431250419850269,0.51581542979588,578
"1161",954,2015,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.980045116561502,-0.933149269042131,1.02598501776528,-0.446961534731176,-0.550127612528807,547
"1162",2299,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-0.366166143009486,0.827898366437909,1.23575253550699,0.234066816800171,-1.26702612965381,735
"1163",2350,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-1.60701277922256,0.827898366437909,0.153353958514274,1.36361653120707,-2.19664684029266,652
"1164",521,2013,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-0.688254490207035,0.77913810557624,0.305788983081798,-0.792157875293959,-0.324121780397923,553
"1165",2054,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.980322558912927,0.188983160678053,-0.465159514052993,1.59945658146786,-0.654321570369116,671
"1166",2480,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.249086443816549,0.756095124733965,-0.138219997971493,0.332219678964867,-0.786200632305889,621
"1167",1222,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.306682084632718,0.64885831365176,-0.800841385518054,1.1293034853425,0.284525901744297,672
"1168",1573,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.885748364379081,-1.27586629757523,0.436814550286125,-0.762357177255139,1.07158051107954,851
"1169",1770,2017,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.261721973971913,-2.2435158464273,0.588414535495681,-1.71173438802389,0.537415225554199,685
"1170",688,2014,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.433620421970732,0.706265368315116,-0.274081504161213,0.0705008312890471,-0.0563339470466111,572
"1171",2122,2018,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.316030925384715,0.827898366437909,-0.813073342372081,1.62428184991637,-0.675449313792726,675
"1172",884,2014,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.180689612511176,-0.611300651993602,-0.0901473384473037,0.463264672970447,0.374507135656648,644
"1173",2294,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.160253642050606,0.827898366437909,-0.639116428212537,-1.13132294786752,-0.00992539594900367,577
