"","id","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","mon","tue","wed","thu","fri","sat","sun","temp","visib","wdsp","num_collisions"
"39",2101,2018,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.7,10,7.8,646
"40",1624,2017,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,16.5,9.9,6.8,611
"41",2223,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-2.1,10,14.3,639
"42",542,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,20.6,1.8,9.8,740
"43",692,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7.8,9.9,11.3,377
"44",2416,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,15.9,10,12,488
"45",824,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.6,6.9,14.4,679
"46",2177,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7,8.3,7.8,596
"47",919,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,22.6,3.6,6.2,606
"48",2432,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13.5,10,9,435
"49",576,2014,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,21.2,4.4,4.9,562
"50",1797,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-10.2,9.5,12.7,598
"51",1785,2017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-0.6,8,14.3,661
"52",1184,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.8,10,26.4,679
"53",162,2013,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,17.8,8.1,16.1,615
"54",1555,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.8,6.7,16.3,723
"55",18,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-2.2,7.5,17.3,561
"56",1290,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,19.7,6.7,7.8,529
"57",1835,2018,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.8,5.1,16.2,706
"58",1202,2016,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.5,7.9,14.7,653
"59",120,2013,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9.9,7.4,8.1,576
"60",2459,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,11.9,7.6,16.5,467
"61",482,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10.8,9.8,14.7,451
"62",2257,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.9,5.9,9.7,594
"63",1669,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,22.7,6.3,11.2,538
"64",389,2014,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.5,6.3,9.3,649
"65",1757,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,8.1,8.9,11.6,811
"66",838,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.6,9.6,15.3,642
"67",1269,2016,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,17.2,6.8,8.9,508
"68",48,2013,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.6,4.2,27.2,447
"69",1654,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,19.8,2.5,9.1,573
"70",1367,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,18.1,8.4,11.5,585
"71",507,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.1,10,12.9,663
"72",165,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,16.9,10,8.5,596
"73",2006,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,20.9,1.4,7.7,637
"74",1612,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,19.6,4.6,17.3,753
"75",1882,2018,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.1,9.3,19.1,491
"76",167,2013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17.3,7,10.5,614
"77",854,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17.3,9.4,10.5,543
"78",2114,2018,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4.1,10,19,688
"79",1004,2015,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,17.7,9,12.9,658
"80",1735,2017,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,18.4,4.9,19.7,648
"81",490,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.3,9.8,10.5,581
"82",106,2013,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.2,8.3,12.7,535
"83",1245,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,18.4,10,7.6,689
"84",255,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,20.6,6.1,10.2,652
"85",1610,2017,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,18.8,7.8,10.6,845
"86",2115,2018,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,5.5,21.9,720
"87",2313,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,15.8,9.1,12.7,659
"88",2236,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.4,10,12.4,575
"89",767,2015,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.8,10,10.1,626
"90",1810,2018,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.6,10,9.9,696
"91",1065,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,14.4,5.9,17.3,755
"92",2033,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,19.5,10,5.4,681
"93",2210,2019,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-2.9,10,8.9,615
"94",1748,2017,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,11.7,9.8,14.4,710
"95",673,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10.6,9.5,9.4,493
"96",2335,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16.4,6,9.8,662
"97",1299,2016,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,21.9,10,7.6,650
"98",1527,2017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.8,5,10,592
"99",541,2014,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,20.6,7.2,11.7,658
"100",1724,2017,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,16.9,6.7,6.3,567
"101",489,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.6,8.6,14.5,584
"102",1256,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,17.9,10,10.7,718
"103",522,2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,16.5,4,16.6,708
"104",1550,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.6,5.9,11.3,632
"105",734,2015,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.1,8,11,506
"106",2347,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,20.6,7.1,12.9,441
"107",719,2014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5.1,9.9,9.7,411
"108",2444,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,13.4,6.7,22.9,502
"109",1702,2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,16.3,2.8,31.6,614
"110",1995,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,20.4,2.6,5.4,719
"111",1987,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,16.5,10,4.4,545
"112",1495,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.6,6.9,11.5,657
"113",2132,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10.6,2.7,13,697
"114",830,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8.3,9.8,15.4,612
"115",97,2013,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,9.1,10.8,582
"116",693,2014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11.8,7.4,11.3,644
"117",1358,2016,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,14.8,8.5,8.9,633
"118",1390,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,9.7,10,12.5,706
"119",1696,2017,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,19.3,4.6,3.2,623
"120",2016,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,24.3,6.7,11.2,658
"121",2494,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2.6,10,8.6,409
"122",1413,2016,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,6.6,10,17.4,592
"123",1402,2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3.2,10,17.4,765
"124",687,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,13.7,3.6,12.9,599
"125",652,2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,14.3,9.3,12.1,607
"126",2004,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,21,4.7,16,606
"127",1181,2016,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.2,9.8,14.8,700
"128",2255,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.9,9.2,11.9,587
"129",256,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,18.1,10,10.5,519
"130",2071,2018,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,16.7,10,6.2,583
"131",1127,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,10,12.3,532
"132",2159,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,10,6,622
"133",996,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,15.2,10,12.1,631
"134",302,2013,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,8.2,10,6,558
"135",621,2014,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,13.9,10,8.9,594
"136",2472,2019,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.8,10,11.7,502
"137",138,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.5,9.3,7.6,544
"138",1921,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.2,9.5,15.2,790
"139",386,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-2.9,9.4,20.5,465
"140",1529,2017,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.4,10,14.7,639
"141",1979,2018,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,21.7,10,6.8,651
"142",502,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,12.6,10,17.3,486
"143",198,2013,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,24.2,8.1,7.8,636
"144",679,2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,11.2,6.5,10.9,666
"145",1662,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,21.7,6.1,9.6,563
"146",2278,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.8,9.8,12.5,565
"147",835,2015,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.8,9.8,18.1,613
"148",1244,2016,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,17.6,10,10.2,739
"149",1998,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,19.9,10,7.2,739
"150",736,2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.4,10,17.1,563
"151",447,2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.9,1.7,15.9,437
"152",2386,2019,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,20.3,8.6,9.8,560
"153",219,2013,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,19.9,10,7.7,549
"154",74,2013,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.8,10,11.7,521
"155",948,2015,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,23.3,6.3,6.2,594
"156",791,2015,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.6,7,14.2,459
"157",591,2014,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,19.5,10,8.9,567
"158",2270,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.2,2.3,13.3,398
"159",896,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18,4.3,15,535
"160",889,2015,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18.3,6.2,13,620
"161",1186,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.7,10,6.9,687
"162",2054,2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,18.3,9.2,8.2,684
"163",2207,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.6,10,8.7,439
"164",512,2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,14.6,10,10.1,663
"165",2057,2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,18.7,7.9,5.8,673
"166",2360,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,24.6,6.1,10.5,586
"167",2435,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,12.9,10,14.4,690
"168",2352,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,21.6,7.9,12.5,747
"169",2208,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,6.3,9.2,406
"170",570,2014,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,19.8,9.6,7.2,626
"171",987,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,15.2,10,8.1,493
"172",1538,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.6,9.8,19,627
"173",1185,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.7,10,17.7,568
"174",2023,2018,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,22.7,4.5,7.9,701
"175",10,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.4,9.9,16.9,555
