"","id","year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec","mon","tue","wed","thu","fri","sat","sun","temp","visib","wdsp","slp","dewp","num_collisions"
"1250",261,2013,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,16.9,10,11,1020.3,12.6,536
"1251",519,2014,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,17.7,8.7,6.4,1015.8,15.9,569
"1252",367,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.9,2.5,17,1007,7.3,518
"1253",2175,2019,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.4,9.8,10.5,1017.3,-4.9,579
"1254",1935,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.3,5.3,4.1,1016.7,12.3,732
"1255",1528,2017,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.5,8.3,16.6,1013.6,2.8,672
"1256",1252,2016,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,17.2,8.3,8.1,1012.3,15.2,643
"1257",856,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.8,2.3,9.9,1015.7,9.9,606
"1258",1055,2015,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7.6,10,7,1035.5,1.1,629
"1259",1151,2016,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.6,9.5,14.2,1022.8,1,640
"1260",1125,2016,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.3,6.2,13.8,1011.9,2.1,525
"1261",315,2013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,7.6,8.5,19,1015,2.7,647
"1262",2048,2018,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,19.2,10,7.9,1019,15.7,568
"1263",405,2014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.8,7.3,13.6,1006.5,-1.8,516
"1264",1112,2016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.2,10,7.5,1021.5,0.1,711
"1265",204,2013,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,23.8,5.7,9.7,1006.7,22,571
"1266",2166,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.6,10,20,1024.8,-11.3,584
"1267",279,2013,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,18.7,8.5,13.7,1017.4,16.8,618
"1268",422,2014,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1.4,9.5,8.2,1024.3,-7.6,491
"1269",1700,2017,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,18.9,3.2,24.5,1006.4,18.9,583
"1270",1667,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,19.2,8,10.1,1015.2,18.7,612
"1271",1007,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,11.5,10,9.4,1015.4,4.2,565
"1272",950,2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,23.1,7.1,11.2,1017,21.2,753
"1273",358,2013,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.6,10,11.5,1023.9,-5.2,476
"1274",693,2014,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11.8,7.4,11.3,1019.8,9.4,644
"1275",2243,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.8,9.8,12.7,1016.8,0.3,526
