collision_date,contributing_factor,num_contributing_factor
2014-02-12,Prescription Medication,12
2013-06-25,Prescription Medication,17
2015-05-02,Prescription Medication,14
2014-08-21,Prescription Medication,14
2014-07-04,Prescription Medication,8
2013-02-28,Prescription Medication,6
2012-12-13,Prescription Medication,14
2012-07-16,Prescription Medication,15
2015-04-25,Prescription Medication,7
2013-07-10,Prescription Medication,14
2013-11-05,Prescription Medication,15
2015-03-31,Prescription Medication,17
2015-01-20,Prescription Medication,9
2015-08-15,Prescription Medication,9
2015-03-20,Prescription Medication,7
2014-10-28,Prescription Medication,9
2012-12-21,Prescription Medication,17
2014-09-03,Prescription Medication,11
2015-10-04,Prescription Medication,12
2014-07-17,Prescription Medication,9
2019-11-02,Prescription Medication,1
2012-09-19,Prescription Medication,14
2013-02-02,Prescription Medication,12
2014-03-14,Prescription Medication,12
2013-03-09,Prescription Medication,8
2014-03-24,Prescription Medication,13
2013-10-01,Prescription Medication,15
2013-06-02,Prescription Medication,14
2014-07-20,Prescription Medication,5
2014-08-31,Prescription Medication,14
2013-10-25,Prescription Medication,15
2014-03-15,Prescription Medication,9
2013-04-13,Prescription Medication,16
2013-04-05,Prescription Medication,9
2015-07-07,Prescription Medication,15
2014-09-06,Prescription Medication,13
2015-06-10,Prescription Medication,15
2013-06-29,Prescription Medication,15
2015-09-30,Prescription Medication,14
2018-12-15,Prescription Medication,1
2013-02-17,Prescription Medication,16
2014-10-07,Prescription Medication,9
2014-06-07,Prescription Medication,14
2015-11-22,Prescription Medication,11
2012-07-12,Prescription Medication,12
2014-06-10,Prescription Medication,10
2013-06-05,Prescription Medication,10
2013-05-07,Prescription Medication,10
2013-07-07,Prescription Medication,12
2012-10-20,Prescription Medication,11
2013-01-24,Prescription Medication,11
2014-11-30,Prescription Medication,5
2014-05-13,Prescription Medication,8
2012-07-05,Prescription Medication,14
2015-10-17,Prescription Medication,10
2014-12-03,Prescription Medication,9
2014-09-19,Prescription Medication,16
2013-12-25,Prescription Medication,6
2014-04-27,Prescription Medication,10
2016-01-11,Prescription Medication,19
2015-07-18,Prescription Medication,14
2013-03-07,Prescription Medication,9
2014-02-14,Prescription Medication,16
2012-11-05,Prescription Medication,12
2013-04-24,Prescription Medication,13
2014-08-17,Prescription Medication,8
2012-10-28,Prescription Medication,5
2012-10-18,Prescription Medication,12
2013-05-28,Prescription Medication,24
2012-12-15,Prescription Medication,8
2014-04-29,Prescription Medication,15
2014-01-30,Prescription Medication,18
2014-02-06,Prescription Medication,8
2015-08-26,Prescription Medication,18
2012-09-13,Prescription Medication,12
2015-06-13,Prescription Medication,13
2013-07-29,Prescription Medication,9
2012-10-05,Prescription Medication,15
2013-09-24,Prescription Medication,14
2015-12-14,Prescription Medication,14
2015-07-19,Prescription Medication,16
2014-12-23,Prescription Medication,11
2015-07-05,Prescription Medication,11
2013-05-14,Prescription Medication,10
2013-02-01,Prescription Medication,9
2015-03-12,Prescription Medication,10
2013-07-01,Prescription Medication,9
2013-06-24,Prescription Medication,12
2013-05-26,Prescription Medication,13
2016-06-04,Prescription Medication,3
2014-06-11,Prescription Medication,11
2013-04-21,Prescription Medication,9
2015-10-03,Prescription Medication,9
2013-10-14,Prescription Medication,7
2015-10-15,Prescription Medication,7
2013-06-13,Prescription Medication,8
2013-01-22,Prescription Medication,9
2015-06-15,Prescription Medication,9
2013-07-18,Prescription Medication,14
2012-12-16,Prescription Medication,7
2015-05-03,Prescription Medication,20
2015-02-16,Prescription Medication,12
2013-10-21,Prescription Medication,9
2013-08-18,Prescription Medication,9
2013-09-25,Prescription Medication,13
2012-09-15,Prescription Medication,8
2015-09-24,Prescription Medication,14
2014-05-15,Prescription Medication,9
2013-01-23,Prescription Medication,14
2012-09-16,Prescription Medication,5
2015-06-05,Prescription Medication,12
2013-10-10,Prescription Medication,10
2012-09-03,Prescription Medication,8
2013-10-29,Prescription Medication,5
2013-07-14,Prescription Medication,10
2013-03-06,Prescription Medication,11
2013-02-24,Prescription Medication,3
2012-08-04,Prescription Medication,12
2015-10-08,Prescription Medication,17
2013-12-26,Prescription Medication,13
2012-12-07,Prescription Medication,10
2012-12-29,Prescription Medication,3
2014-02-07,Prescription Medication,12
2014-01-18,Prescription Medication,12
2013-02-15,Prescription Medication,14
2012-09-27,Prescription Medication,18
2016-02-10,Prescription Medication,9
2013-03-18,Prescription Medication,10
2013-02-20,Prescription Medication,6
2013-11-14,Prescription Medication,14
2014-05-07,Prescription Medication,17
2014-11-19,Prescription Medication,11
2014-01-20,Prescription Medication,9
2016-10-20,Prescription Medication,1
2018-09-05,Prescription Medication,1
2017-06-02,Prescription Medication,2
2019-03-12,Prescription Medication,1
2016-09-22,Prescription Medication,1
2019-03-05,Prescription Medication,1
2022-11-20,Prescription Medication,1
2015-11-04,Prescription Medication,11
2013-12-07,Prescription Medication,12
2013-05-08,Prescription Medication,6
2012-11-25,Prescription Medication,10
2013-06-23,Prescription Medication,16
2014-03-13,Prescription Medication,11
2012-11-23,Prescription Medication,7
2016-01-01,Prescription Medication,9
2012-08-19,Prescription Medication,5
2012-08-21,Prescription Medication,9
2013-07-11,Prescription Medication,17
2015-03-14,Prescription Medication,11
2013-07-20,Prescription Medication,10
2012-10-27,Prescription Medication,16
2014-02-03,Prescription Medication,10
2014-08-26,Prescription Medication,11
2012-12-08,Prescription Medication,11
2013-02-16,Prescription Medication,13
2014-02-05,Prescription Medication,7
2014-12-28,Prescription Medication,3
2015-09-13,Prescription Medication,5
2014-02-24,Prescription Medication,9
2014-03-29,Prescription Medication,15
2013-09-15,Prescription Medication,10
2012-09-10,Prescription Medication,12
2013-09-28,Prescription Medication,9
2014-05-10,Prescription Medication,11
2013-03-14,Prescription Medication,5
2012-09-28,Prescription Medication,14
2012-09-30,Prescription Medication,8
2013-07-05,Prescription Medication,8
2013-09-03,Prescription Medication,11
2014-06-25,Prescription Medication,22
2016-02-21,Prescription Medication,16
2013-05-10,Prescription Medication,9
2015-10-19,Prescription Medication,11
2012-10-08,Prescription Medication,6
2013-09-05,Prescription Medication,8
2014-03-02,Prescription Medication,8
2015-10-24,Prescription Medication,15
2013-06-08,Prescription Medication,11
2012-07-19,Prescription Medication,9
2015-01-14,Prescription Medication,15
2012-11-04,Prescription Medication,4
2013-04-01,Prescription Medication,9
2014-10-18,Prescription Medication,4
2013-02-07,Prescription Medication,10
2021-11-08,Prescription Medication,1
2013-10-24,Prescription Medication,10
2013-07-13,Prescription Medication,7
2013-09-02,Prescription Medication,7
2021-05-30,Prescription Medication,1
2013-10-03,Prescription Medication,8
2012-12-30,Prescription Medication,8
2013-09-23,Prescription Medication,12
2014-12-07,Prescription Medication,11
2013-12-19,Prescription Medication,9
2013-08-06,Prescription Medication,10
2013-07-28,Prescription Medication,7
2015-04-29,Prescription Medication,13
2013-06-10,Prescription Medication,9
2015-03-26,Prescription Medication,13
2018-12-20,Prescription Medication,1
2013-01-06,Prescription Medication,7
2013-09-22,Prescription Medication,10
2013-10-20,Prescription Medication,13
2015-08-07,Prescription Medication,9
2016-01-24,Prescription Medication,6
2013-09-07,Prescription Medication,5
2013-11-12,Prescription Medication,7
2013-01-28,Prescription Medication,7
2016-05-14,Prescription Medication,1
2014-09-11,Prescription Medication,11
2013-09-27,Prescription Medication,10
2013-08-04,Prescription Medication,6
2017-10-10,Prescription Medication,1
2014-04-19,Prescription Medication,16
2015-03-21,Prescription Medication,10
2013-06-22,Prescription Medication,8
2014-11-18,Prescription Medication,11
2013-01-21,Prescription Medication,6
2013-12-08,Prescription Medication,7
2013-02-05,Prescription Medication,13
2015-02-07,Prescription Medication,8
2013-07-02,Prescription Medication,8
2013-11-04,Prescription Medication,7
2014-01-04,Prescription Medication,4
2020-02-07,Prescription Medication,1
2014-05-09,Prescription Medication,12
2014-01-22,Prescription Medication,8
2014-02-09,Prescription Medication,3
2012-09-29,Prescription Medication,8
2012-10-02,Prescription Medication,7
2015-03-05,Prescription Medication,8
2013-06-11,Prescription Medication,9
2012-09-21,Prescription Medication,13
2013-11-13,Prescription Medication,5
2013-09-20,Prescription Medication,12
2013-04-02,Prescription Medication,7
2014-03-28,Prescription Medication,13
2013-12-15,Prescription Medication,4
2013-12-23,Prescription Medication,15
2015-10-12,Prescription Medication,11
2013-10-18,Prescription Medication,12
2013-03-28,Prescription Medication,3
2015-05-24,Prescription Medication,6
2013-03-12,Prescription Medication,11
2019-10-30,Prescription Medication,1
2014-02-16,Prescription Medication,4
2015-07-25,Prescription Medication,14
2012-07-08,Prescription Medication,8
2014-04-12,Prescription Medication,16
2014-04-16,Prescription Medication,12
2014-04-20,Prescription Medication,11
2015-09-20,Prescription Medication,10
2014-05-16,Prescription Medication,7
2012-08-20,Prescription Medication,8
2013-01-25,Prescription Medication,7
2015-12-31,Prescription Medication,15
2021-01-07,Prescription Medication,1
2013-02-11,Prescription Medication,3
2022-01-03,Prescription Medication,1
2014-08-30,Prescription Medication,7
2014-09-08,Prescription Medication,4
2012-10-16,Prescription Medication,10
2017-12-04,Prescription Medication,1
2014-09-07,Prescription Medication,8
2019-09-04,Prescription Medication,1
2013-07-04,Prescription Medication,10
2014-03-23,Prescription Medication,7
2014-07-10,Prescription Medication,15
2022-04-01,Prescription Medication,1
2014-01-29,Prescription Medication,9
2013-11-30,Prescription Medication,8
2015-08-17,Prescription Medication,18
2017-04-03,Prescription Medication,1
2013-08-22,Prescription Medication,10
2021-06-26,Prescription Medication,1
2013-01-09,Prescription Medication,5
2021-12-22,Prescription Medication,1
2013-11-11,Prescription Medication,3
2013-02-03,Prescription Medication,8
2016-07-21,Prescription Medication,1
2015-11-08,Prescription Medication,8
2021-06-20,Prescription Medication,1
2012-11-21,Prescription Medication,8
2019-12-08,Prescription Medication,1
2017-03-20,Prescription Medication,1
2018-09-17,Prescription Medication,1
2019-01-08,Prescription Medication,1
2016-06-21,Prescription Medication,2
2018-08-02,Prescription Medication,1
2018-09-13,Prescription Medication,1
2017-01-19,Prescription Medication,1
2016-03-29,Prescription Medication,1
2012-07-15,Prescription Medication,12
2018-03-26,Prescription Medication,1
2013-10-31,Prescription Medication,12
2015-02-14,Prescription Medication,4
2015-09-12,Prescription Medication,9
2013-12-10,Prescription Medication,5
2014-10-22,Prescription Medication,4
2020-08-14,Prescription Medication,1
2021-05-17,Prescription Medication,1
2022-10-22,Prescription Medication,1
2015-01-04,Prescription Medication,1
2018-02-08,Prescription Medication,1
2017-03-18,Prescription Medication,2
2020-12-28,Prescription Medication,1
2014-01-26,Prescription Medication,7
2020-08-13,Prescription Medication,1
2016-10-02,Prescription Medication,1
2013-10-02,Prescription Medication,7
2016-09-28,Prescription Medication,1
2014-02-08,Prescription Medication,4
2020-12-15,Prescription Medication,1
2013-08-26,Prescription Medication,7
2013-02-09,Prescription Medication,4
2020-07-03,Prescription Medication,1
2014-01-05,Prescription Medication,3
2019-11-22,Prescription Medication,1
2020-07-26,Prescription Medication,1
2014-01-31,Prescription Medication,6
2019-05-07,Prescription Medication,1
2019-05-21,Prescription Medication,1
2019-06-12,Prescription Medication,1
2019-04-19,Prescription Medication,1
2022-08-17,Prescription Medication,1
2012-10-30,Prescription Medication,4
2016-04-19,Prescription Medication,1
2019-03-27,Prescription Medication,1
2019-08-14,Prescription Medication,1
2016-12-10,Prescription Medication,1
2022-09-19,Prescription Medication,1
2019-01-16,Prescription Medication,1
2016-11-23,Prescription Medication,1
2016-10-11,Prescription Medication,1
2012-08-26,Prescription Medication,7
2022-05-16,Prescription Medication,1
2022-10-29,Prescription Medication,1
2021-11-06,Prescription Medication,1
2013-02-10,Prescription Medication,2
2022-02-01,Prescription Medication,2
2016-07-04,Prescription Medication,1
2017-12-19,Prescription Medication,1
2018-11-13,Prescription Medication,1
2017-05-23,Prescription Medication,1
2019-05-04,Prescription Medication,1
2018-01-18,Prescription Medication,1
2021-07-05,Prescription Medication,1
2019-07-12,Prescription Medication,1
2021-01-06,Prescription Medication,1
2019-04-26,Prescription Medication,1
2018-10-03,Prescription Medication,1
2022-04-23,Prescription Medication,1
2017-03-04,Prescription Medication,1
2021-01-05,Prescription Medication,1
2017-01-04,Prescription Medication,1
2017-05-19,Prescription Medication,1
2020-09-11,Prescription Medication,1
2018-06-13,Prescription Medication,1
2017-01-12,Prescription Medication,1
2016-10-26,Prescription Medication,1
2017-01-06,Prescription Medication,1
2018-11-22,Prescription Medication,1
2021-12-08,Prescription Medication,1
2019-08-22,Prescription Medication,1
2017-11-22,Prescription Medication,1
2016-06-29,Prescription Medication,1
2021-06-23,Prescription Medication,1
2016-08-16,Prescription Medication,1
2019-03-16,Prescription Medication,1
2016-09-13,Prescription Medication,1
2016-05-02,Prescription Medication,1
2017-10-02,Prescription Medication,1
2018-01-22,Prescription Medication,1
2018-03-11,Prescription Medication,1
2017-06-05,Prescription Medication,1
2020-11-15,Prescription Medication,1
2020-08-23,Prescription Medication,1
2012-10-29,Prescription Medication,2
2016-05-23,Prescription Medication,1
2014-02-13,Prescription Medication,1
2018-04-21,Prescription Medication,1
2019-01-14,Prescription Medication,1
2016-08-12,Prescription Medication,1
2022-04-15,Prescription Medication,1
2022-01-27,Prescription Medication,1
2021-06-09,Prescription Medication,1
2016-06-26,Prescription Medication,1
2017-03-31,Prescription Medication,1
2017-05-30,Prescription Medication,1
2018-01-28,Tire Failure/Inadequate,1
2022-11-07,Tire Failure/Inadequate,1
2014-06-03,Tire Failure/Inadequate,1
2015-09-09,Tire Failure/Inadequate,4
2015-01-26,Tire Failure/Inadequate,1
2021-03-15,Tire Failure/Inadequate,2
2015-07-10,Tire Failure/Inadequate,3
2016-08-16,Tire Failure/Inadequate,2
2016-02-19,Tire Failure/Inadequate,4
2019-12-01,Tire Failure/Inadequate,1
2017-05-15,Tire Failure/Inadequate,1
2014-12-09,Tire Failure/Inadequate,1
2021-05-19,Tire Failure/Inadequate,3
2016-05-03,Tire Failure/Inadequate,1
2021-05-28,Tire Failure/Inadequate,2
2017-02-25,Tire Failure/Inadequate,4
2021-07-01,Tire Failure/Inadequate,1
2017-08-04,Tire Failure/Inadequate,2
2016-04-24,Tire Failure/Inadequate,3
2019-08-22,Tire Failure/Inadequate,2
2017-10-24,Tire Failure/Inadequate,2
2019-06-01,Tire Failure/Inadequate,3
2015-05-27,Tire Failure/Inadequate,2
2013-11-15,Tire Failure/Inadequate,4
2014-03-17,Tire Failure/Inadequate,2
2012-10-23,Tire Failure/Inadequate,2
2014-10-30,Tire Failure/Inadequate,3
2013-09-22,Tire Failure/Inadequate,2
2022-07-30,Tire Failure/Inadequate,1
2013-01-07,Tire Failure/Inadequate,2
2014-11-08,Tire Failure/Inadequate,2
2015-11-21,Tire Failure/Inadequate,2
2016-04-09,Tire Failure/Inadequate,2
2015-06-27,Tire Failure/Inadequate,2
2022-09-09,Tire Failure/Inadequate,1
2015-12-22,Tire Failure/Inadequate,2
2019-04-27,Tire Failure/Inadequate,3
2015-02-25,Tire Failure/Inadequate,1
2019-10-16,Tire Failure/Inadequate,1
2020-12-09,Tire Failure/Inadequate,1
2017-11-30,Tire Failure/Inadequate,3
2017-07-30,Tire Failure/Inadequate,1
2019-11-11,Tire Failure/Inadequate,1
2021-02-23,Tire Failure/Inadequate,1
2019-09-18,Tire Failure/Inadequate,1
2012-08-20,Tire Failure/Inadequate,2
2013-01-05,Tire Failure/Inadequate,1
2015-04-13,Tire Failure/Inadequate,2
2014-05-01,Tire Failure/Inadequate,2
2014-03-27,Tire Failure/Inadequate,2
2018-12-20,Tire Failure/Inadequate,2
2013-05-07,Tire Failure/Inadequate,1
2015-02-06,Tire Failure/Inadequate,1
2015-05-24,Tire Failure/Inadequate,1
2016-04-12,Tire Failure/Inadequate,2
2016-03-08,Tire Failure/Inadequate,4
2013-12-14,Tire Failure/Inadequate,1
2015-08-17,Tire Failure/Inadequate,2
2013-06-23,Tire Failure/Inadequate,2
2017-03-17,Tire Failure/Inadequate,3
2016-04-01,Tire Failure/Inadequate,4
2020-09-08,Tire Failure/Inadequate,1
2016-06-15,Tire Failure/Inadequate,1
2019-07-08,Tire Failure/Inadequate,3
2015-07-27,Tire Failure/Inadequate,2
2018-08-08,Tire Failure/Inadequate,2
2016-06-09,Tire Failure/Inadequate,1
2022-10-01,Tire Failure/Inadequate,3
2017-05-23,Tire Failure/Inadequate,3
2022-01-04,Tire Failure/Inadequate,2
2015-06-08,Tire Failure/Inadequate,1
2015-03-21,Tire Failure/Inadequate,2
2014-08-14,Tire Failure/Inadequate,3
2014-01-18,Tire Failure/Inadequate,2
2018-01-17,Tire Failure/Inadequate,1
2015-08-20,Tire Failure/Inadequate,2
2013-06-19,Tire Failure/Inadequate,1
2013-09-15,Tire Failure/Inadequate,2
2015-12-12,Tire Failure/Inadequate,1
2014-10-11,Tire Failure/Inadequate,2
2012-07-22,Tire Failure/Inadequate,1
2013-08-14,Tire Failure/Inadequate,1
2016-03-10,Tire Failure/Inadequate,1
2015-10-25,Tire Failure/Inadequate,3
2020-06-23,Tire Failure/Inadequate,3
2015-07-20,Tire Failure/Inadequate,3
2014-01-24,Tire Failure/Inadequate,3
2015-12-31,Tire Failure/Inadequate,5
2016-03-02,Tire Failure/Inadequate,1
2013-06-14,Tire Failure/Inadequate,1
2016-04-29,Tire Failure/Inadequate,1
2019-12-22,Tire Failure/Inadequate,2
2017-09-04,Tire Failure/Inadequate,3
2018-01-13,Tire Failure/Inadequate,1
2016-10-09,Tire Failure/Inadequate,2
2016-11-10,Tire Failure/Inadequate,2
2019-06-29,Tire Failure/Inadequate,3
2016-12-21,Tire Failure/Inadequate,3
2021-01-14,Tire Failure/Inadequate,1
2013-05-05,Tire Failure/Inadequate,2
2018-04-02,Tire Failure/Inadequate,1
2012-10-15,Tire Failure/Inadequate,2
2013-01-19,Tire Failure/Inadequate,2
2015-05-10,Tire Failure/Inadequate,2
2015-08-10,Tire Failure/Inadequate,1
2014-01-29,Tire Failure/Inadequate,2
2014-01-28,Tire Failure/Inadequate,1
2014-01-21,Tire Failure/Inadequate,2
2016-04-02,Tire Failure/Inadequate,5
2013-07-08,Tire Failure/Inadequate,1
2021-09-25,Tire Failure/Inadequate,2
2013-09-16,Tire Failure/Inadequate,2
2016-06-27,Tire Failure/Inadequate,2
2022-05-19,Tire Failure/Inadequate,1
2013-12-02,Tire Failure/Inadequate,2
2022-07-09,Tire Failure/Inadequate,1
2014-09-07,Tire Failure/Inadequate,2
2022-08-12,Tire Failure/Inadequate,2
2021-11-28,Tire Failure/Inadequate,3
2018-06-08,Tire Failure/Inadequate,1
2021-05-26,Tire Failure/Inadequate,1
2015-03-05,Tire Failure/Inadequate,2
2018-10-01,Tire Failure/Inadequate,1
2020-10-27,Tire Failure/Inadequate,1
2014-10-01,Tire Failure/Inadequate,2
2012-07-09,Tire Failure/Inadequate,2
2021-03-08,Tire Failure/Inadequate,1
2012-08-04,Tire Failure/Inadequate,1
2016-01-09,Tire Failure/Inadequate,1
2019-09-12,Tire Failure/Inadequate,2
2015-08-24,Tire Failure/Inadequate,1
2014-11-12,Tire Failure/Inadequate,2
2016-02-16,Tire Failure/Inadequate,2
2015-10-31,Tire Failure/Inadequate,1
2013-08-24,Tire Failure/Inadequate,2
2012-10-18,Tire Failure/Inadequate,1
2017-08-16,Tire Failure/Inadequate,3
2016-06-16,Tire Failure/Inadequate,1
2013-04-15,Tire Failure/Inadequate,1
2022-05-08,Tire Failure/Inadequate,1
2016-02-28,Tire Failure/Inadequate,2
2020-12-22,Tire Failure/Inadequate,1
2014-04-12,Tire Failure/Inadequate,1
2014-02-07,Tire Failure/Inadequate,1
2018-04-14,Tire Failure/Inadequate,3
2013-03-09,Tire Failure/Inadequate,2
2019-09-19,Tire Failure/Inadequate,1
2014-07-22,Tire Failure/Inadequate,2
2020-01-18,Tire Failure/Inadequate,1
2019-03-05,Tire Failure/Inadequate,2
2016-04-03,Tire Failure/Inadequate,3
2015-05-31,Tire Failure/Inadequate,2
2015-07-16,Tire Failure/Inadequate,1
2020-07-23,Tire Failure/Inadequate,2
2015-08-21,Tire Failure/Inadequate,2
2014-03-04,Tire Failure/Inadequate,1
2013-09-20,Tire Failure/Inadequate,1
2013-10-12,Tire Failure/Inadequate,3
2013-08-09,Tire Failure/Inadequate,2
2013-09-29,Tire Failure/Inadequate,2
2018-06-10,Tire Failure/Inadequate,6
2021-03-28,Tire Failure/Inadequate,1
2016-08-11,Tire Failure/Inadequate,2
2013-08-07,Tire Failure/Inadequate,2
2014-06-20,Tire Failure/Inadequate,1
2022-05-05,Tire Failure/Inadequate,1
2018-08-25,Tire Failure/Inadequate,3
2017-09-28,Tire Failure/Inadequate,1
2020-05-16,Tire Failure/Inadequate,1
2019-04-21,Tire Failure/Inadequate,1
2022-02-12,Tire Failure/Inadequate,2
2017-04-25,Tire Failure/Inadequate,2
2022-01-14,Tire Failure/Inadequate,1
2016-05-29,Tire Failure/Inadequate,1
2020-03-13,Tire Failure/Inadequate,1
2018-10-19,Tire Failure/Inadequate,1
2017-01-09,Tire Failure/Inadequate,1
2017-01-17,Tire Failure/Inadequate,2
2022-06-28,Tire Failure/Inadequate,2
2019-01-15,Tire Failure/Inadequate,3
2018-04-12,Tire Failure/Inadequate,1
2022-09-22,Tire Failure/Inadequate,1
2019-05-18,Tire Failure/Inadequate,1
2016-09-28,Tire Failure/Inadequate,1
2018-04-16,Tire Failure/Inadequate,1
2016-10-27,Tire Failure/Inadequate,3
2020-08-04,Tire Failure/Inadequate,1
2019-09-29,Tire Failure/Inadequate,4
2017-12-12,Tire Failure/Inadequate,3
2017-07-12,Tire Failure/Inadequate,3
2016-03-20,Tire Failure/Inadequate,2
2022-04-09,Tire Failure/Inadequate,1
2017-12-20,Tire Failure/Inadequate,2
2017-04-10,Tire Failure/Inadequate,3
2022-05-04,Tire Failure/Inadequate,1
2018-10-22,Tire Failure/Inadequate,2
2020-02-06,Tire Failure/Inadequate,1
2018-06-03,Tire Failure/Inadequate,1
2017-08-22,Tire Failure/Inadequate,2
2018-04-01,Tire Failure/Inadequate,1
2017-04-16,Tire Failure/Inadequate,2
2020-09-10,Tire Failure/Inadequate,3
2016-08-27,Tire Failure/Inadequate,1
2016-07-30,Tire Failure/Inadequate,3
2019-08-26,Tire Failure/Inadequate,3
2016-08-24,Tire Failure/Inadequate,1
2019-09-08,Tire Failure/Inadequate,3
2016-10-28,Tire Failure/Inadequate,1
2016-08-08,Tire Failure/Inadequate,1
2021-08-09,Tire Failure/Inadequate,2
2019-09-15,Tire Failure/Inadequate,1
2022-06-18,Tire Failure/Inadequate,2
2017-11-19,Tire Failure/Inadequate,1
2019-04-13,Tire Failure/Inadequate,4
2021-06-25,Tire Failure/Inadequate,2
2017-10-31,Tire Failure/Inadequate,3
2019-11-10,Tire Failure/Inadequate,2
2017-12-17,Tire Failure/Inadequate,2
2022-06-12,Tire Failure/Inadequate,4
2018-10-05,Tire Failure/Inadequate,3
2022-09-19,Tire Failure/Inadequate,1
2016-08-17,Tire Failure/Inadequate,1
2018-07-12,Tire Failure/Inadequate,2
2019-04-19,Tire Failure/Inadequate,1
2020-05-05,Tire Failure/Inadequate,1
2018-04-21,Tire Failure/Inadequate,2
2022-07-05,Tire Failure/Inadequate,1
2018-01-12,Tire Failure/Inadequate,1
2018-02-16,Tire Failure/Inadequate,1
2021-12-31,Tire Failure/Inadequate,2
2021-05-03,Tire Failure/Inadequate,1
2019-09-11,Tire Failure/Inadequate,2
2021-12-15,Tire Failure/Inadequate,2
2019-06-14,Tire Failure/Inadequate,2
2019-08-16,Tire Failure/Inadequate,2
2019-05-21,Tire Failure/Inadequate,1
2017-08-10,Tire Failure/Inadequate,2
2019-02-12,Tire Failure/Inadequate,1
2017-12-30,Tire Failure/Inadequate,3
2019-11-05,Tire Failure/Inadequate,1
2019-11-09,Tire Failure/Inadequate,1
2020-01-01,Tire Failure/Inadequate,2
2018-05-17,Tire Failure/Inadequate,2
2021-03-04,Tire Failure/Inadequate,2
2018-11-21,Tire Failure/Inadequate,1
2016-04-13,Tire Failure/Inadequate,2
2021-06-29,Tire Failure/Inadequate,1
2022-11-15,Tire Failure/Inadequate,1
2019-05-13,Tire Failure/Inadequate,1
2022-09-27,Tire Failure/Inadequate,1
2020-10-21,Tire Failure/Inadequate,1
2020-09-24,Tire Failure/Inadequate,1
2016-06-06,Tire Failure/Inadequate,1
2018-05-27,Tire Failure/Inadequate,2
2018-02-17,Tire Failure/Inadequate,2
2020-09-18,Tire Failure/Inadequate,1
2018-09-30,Tire Failure/Inadequate,2
2022-08-26,Tire Failure/Inadequate,1
2017-07-31,Tire Failure/Inadequate,2
2017-06-23,Tire Failure/Inadequate,2
2019-11-01,Tire Failure/Inadequate,1
2019-03-20,Tire Failure/Inadequate,2
2018-01-09,Tire Failure/Inadequate,1
2022-09-13,Tire Failure/Inadequate,1
2019-12-08,Tire Failure/Inadequate,1
2020-02-11,Tire Failure/Inadequate,1
2019-04-14,Tire Failure/Inadequate,1
2022-03-28,Tire Failure/Inadequate,1
2019-04-11,Tire Failure/Inadequate,3
2016-05-17,Tire Failure/Inadequate,2
2021-04-28,Tire Failure/Inadequate,1
2018-01-01,Tire Failure/Inadequate,2
2020-04-02,Tire Failure/Inadequate,1
2021-09-21,Tire Failure/Inadequate,2
2017-06-03,Tire Failure/Inadequate,4
2018-06-07,Tire Failure/Inadequate,2
2020-10-31,Tire Failure/Inadequate,1
2022-10-27,Tire Failure/Inadequate,1
2021-10-04,Tire Failure/Inadequate,2
2020-02-14,Tire Failure/Inadequate,2
2017-02-04,Tire Failure/Inadequate,1
2020-10-08,Tire Failure/Inadequate,2
2017-04-15,Tire Failure/Inadequate,2
2018-05-13,Tire Failure/Inadequate,2
2016-04-16,Tire Failure/Inadequate,2
2018-08-05,Tire Failure/Inadequate,2
2019-10-04,Tire Failure/Inadequate,3
2016-11-01,Tire Failure/Inadequate,2
2020-03-27,Tire Failure/Inadequate,1
2017-07-09,Tire Failure/Inadequate,1
2022-11-27,Tire Failure/Inadequate,1
2021-07-23,Tire Failure/Inadequate,1
2017-07-21,Tire Failure/Inadequate,3
2019-10-13,Tire Failure/Inadequate,1
2017-02-12,Tire Failure/Inadequate,1
2019-10-15,Tire Failure/Inadequate,2
2020-12-17,Tire Failure/Inadequate,3
2022-01-05,Tire Failure/Inadequate,2
2020-11-06,Tire Failure/Inadequate,1
2021-05-06,Tire Failure/Inadequate,2
2016-03-18,Tire Failure/Inadequate,2
2020-10-20,Tire Failure/Inadequate,1
2022-05-01,Tire Failure/Inadequate,1
2022-02-26,Tire Failure/Inadequate,1
2019-10-06,Tire Failure/Inadequate,2
2017-04-29,Tire Failure/Inadequate,1
2021-08-27,Tire Failure/Inadequate,2
2017-03-19,Tire Failure/Inadequate,3
2018-02-23,Tire Failure/Inadequate,1
2018-05-18,Tire Failure/Inadequate,4
2020-11-03,Tire Failure/Inadequate,2
2016-12-05,Tire Failure/Inadequate,3
2016-11-12,Tire Failure/Inadequate,2
2022-04-03,Tire Failure/Inadequate,3
2017-07-17,Tire Failure/Inadequate,1
2018-11-08,Tire Failure/Inadequate,1
2016-09-21,Tire Failure/Inadequate,1
2019-03-28,Tire Failure/Inadequate,1
2021-08-06,Tire Failure/Inadequate,1
2017-11-27,Tire Failure/Inadequate,2
2016-10-04,Tire Failure/Inadequate,1
2018-04-10,Tire Failure/Inadequate,1
2016-05-14,Tire Failure/Inadequate,3
2021-01-12,Tire Failure/Inadequate,1
2016-09-10,Tire Failure/Inadequate,1
2017-04-08,Tire Failure/Inadequate,6
2018-05-03,Tire Failure/Inadequate,1
2016-12-09,Tire Failure/Inadequate,2
2017-01-06,Tire Failure/Inadequate,2
2019-08-29,Tire Failure/Inadequate,1
2018-12-21,Tire Failure/Inadequate,3
2020-05-27,Tire Failure/Inadequate,1
