collision_date,contributing_factor,num_contributing_factor
2015-10-05,Cell Phone (hand-held),1
2015-05-07,Cell Phone (hand-held),1
2015-11-05,Windshield Inadequate,1
2015-05-08,Cell Phone (hand-held),1
2013-08-25,Cell Phone (hands-free),1
2017-09-17,Using On Board Navigation Device,2
2015-02-22,Headlights Defective,2
2021-07-04,Vehicle Vandalism,1
2014-09-12,Cell Phone (hand-held),1
2020-10-14,Tinted Windows,1
2019-03-29,Other Lighting Defects,1
2019-02-08,Eating or Drinking,1
2012-10-22,Drugs (Illegal),3
2018-08-12,Cell Phone (hand-Held),1
2016-01-22,Headlights Defective,1
2017-07-24,Tow Hitch Defective,2
2019-01-25,Using On Board Navigation Device,1
2016-02-24,Other Lighting Defects,2
2014-08-28,Headlights Defective,1
2015-12-10,Cell Phone (hand-held),2
2021-01-16,Cell Phone (hand-Held),1
2015-09-16,Drugs (Illegal),2
2015-09-23,Windshield Inadequate,1
2015-09-29,Drugs (Illegal),1
2012-09-17,Drugs (Illegal),3
2014-06-14,Cell Phone (hands-free),1
2014-03-04,Drugs (Illegal),1
2022-05-19,Tinted Windows,1
2014-09-04,Drugs (Illegal),2
2017-07-25,Eating or Drinking,1
2019-05-22,Eating or Drinking,1
2018-09-24,Headlights Defective,1
2018-09-29,Tinted Windows,1
2019-02-23,Tinted Windows,1
2017-06-19,Cell Phone (hand-Held),1
2013-07-23,Shoulders Defective/Improper,1
2013-08-18,Drugs (Illegal),2
2022-02-01,Listening/Using Headphones,1
2015-12-02,Headlights Defective,2
2018-07-21,Other Lighting Defects,1
2015-01-18,Cell Phone (hands-free),1
2022-06-07,Tinted Windows,1
2014-09-02,Other Lighting Defects,2
2013-01-25,Drugs (Illegal),1
2013-08-04,Drugs (Illegal),3
2015-02-11,Cell Phone (hand-held),1
2012-09-19,Drugs (Illegal),1
2020-11-28,Headlights Defective,1
2014-03-07,Drugs (Illegal),2
2014-05-10,Other Lighting Defects,1
2015-10-22,Cell Phone (hands-free),3
2019-09-23,Eating or Drinking,1
2017-10-05,Cell Phone (hands-free),1
2021-01-23,Listening/Using Headphones,1
2016-10-05,Other Lighting Defects,2
2018-04-03,Tinted Windows,1
2016-07-23,Using On Board Navigation Device,2
2016-08-21,Listening/Using Headphones,1
2019-10-23,Cell Phone (hand-Held),1
2017-11-15,Cell Phone (hand-Held),2
2018-10-27,Headlights Defective,1
2018-08-30,Cell Phone (hand-Held),1
2016-12-13,Tinted Windows,1
2017-04-28,Using On Board Navigation Device,1
2017-12-16,Headlights Defective,1
2020-01-25,Tinted Windows,1
2018-12-12,Tinted Windows,1
2016-08-30,Headlights Defective,1
2016-09-23,Tow Hitch Defective,2
2020-06-13,Cell Phone (hand-Held),1
2018-11-07,Other Lighting Defects,2
2019-06-15,Tow Hitch Defective,2
2016-10-10,Cell Phone (hand-Held),1
2021-01-01,Tinted Windows,1
2016-03-06,Drugs (Illegal),2
2012-11-14,Other Lighting Defects,1
2014-08-13,Drugs (Illegal),1
2013-09-17,Shoulders Defective/Improper,2
2015-09-17,Cell Phone (hands-free),1
2016-04-21,Windshield Inadequate,1
2014-09-15,Drugs (Illegal),2
2019-07-24,Using On Board Navigation Device,1
2015-06-21,Drugs (Illegal),1
2016-04-19,80,4
2022-03-06,Cell Phone (hand-Held),1
2020-03-16,Other Lighting Defects,1
2017-01-23,Other Lighting Defects,1
2014-10-31,Other Lighting Defects,1
2014-01-16,Drugs (Illegal),1
2013-12-11,Drugs (Illegal),1
2019-08-30,Tow Hitch Defective,2
2012-11-13,Drugs (Illegal),2
2015-06-09,Drugs (Illegal),1
2015-10-20,Tow Hitch Defective,2
2014-02-08,Tow Hitch Defective,1
2020-05-21,Cell Phone (hand-Held),1
2017-02-14,Cell Phone (hand-Held),1
2015-12-04,Drugs (Illegal),1
2014-07-27,Drugs (Illegal),1
2015-05-03,Drugs (Illegal),2
2015-04-03,Cell Phone (hands-free),1
2016-05-16,Shoulders Defective/Improper,1
2014-04-19,Cell Phone (hands-free),2
2015-03-14,Drugs (Illegal),1
2018-02-24,Headlights Defective,1
2018-11-16,Cell Phone (hand-Held),1
2014-12-16,Other Lighting Defects,1
2013-06-03,Drugs (Illegal),2
2015-05-06,Cell Phone (hands-free),1
2018-06-04,Texting,1
2013-04-27,Drugs (Illegal),1
2021-06-11,Cell Phone (hands-free),1
2012-11-25,Cell Phone (hand-held),1
2021-01-31,Headlights Defective,2
2014-05-11,Drugs (Illegal),1
2014-03-02,Drugs (Illegal),1
2014-01-13,Drugs (Illegal),2
2018-11-25,Tow Hitch Defective,2
2017-06-20,Cell Phone (hand-Held),1
2016-01-07,Cell Phone (hands-free),1
2013-06-15,Drugs (Illegal),1
2022-08-04,Headlights Defective,1
2018-11-04,Vehicle Vandalism,2
2014-08-03,Headlights Defective,1
2020-07-29,Other Lighting Defects,1
2018-07-05,Cell Phone (hand-Held),1
2014-11-29,Headlights Defective,1
2013-12-15,Drugs (Illegal),1
2018-08-13,Tinted Windows,1
2017-12-11,Other Lighting Defects,2
2016-08-04,Cell Phone (hand-Held),1
2016-02-17,Headlights Defective,1
2019-08-07,Tinted Windows,1
2018-05-31,Eating or Drinking,1
2019-07-27,Tinted Windows,1
2019-03-26,Texting,1
2021-06-20,Other Lighting Defects,1
2019-06-21,Listening/Using Headphones,1
2019-04-16,Cell Phone (hands-free),1
2019-01-09,Headlights Defective,1
2022-09-15,Eating or Drinking,1
2017-06-15,Tinted Windows,1
2022-01-12,Cell Phone (hands-free),1
2015-03-11,Drugs (Illegal),2
2015-10-14,Drugs (Illegal),3
2014-05-23,Other Lighting Defects,1
2018-12-18,Cell Phone (hand-Held),1
2019-01-24,Other Lighting Defects,1
2019-06-03,Vehicle Vandalism,1
2016-05-04,Windshield Inadequate,1
2015-12-16,Cell Phone (hand-held),1
2016-05-28,Vehicle Vandalism,1
2017-10-17,Using On Board Navigation Device,1
2018-01-03,Cell Phone (hand-Held),2
2020-05-30,Other Lighting Defects,1
2016-12-23,Tow Hitch Defective,2
2014-10-24,Cell Phone (hand-held),2
2022-10-13,Headlights Defective,1
2012-12-03,Headlights Defective,2
2012-08-16,Drugs (Illegal),1
2012-08-27,Headlights Defective,1
2013-06-23,Drugs (Illegal),1
2017-10-13,Tinted Windows,1
2012-10-20,Other Lighting Defects,2
2013-11-02,Drugs (Illegal),1
2017-10-22,Other Lighting Defects,1
2014-02-27,Drugs (Illegal),1
2013-12-20,Drugs (Illegal),1
2014-12-10,Drugs (Illegal),1
2012-11-22,Cell Phone (hands-free),3
